evTimes	evNumSegs	evMags	evAreas	evSlips	evYearPred1	aveLastEvTime1	evYearPred2	aveLastEvTime2
475	1	6.4286256	1.5729E8	1.045	447.66666666666663	378.0	459.458	378.0
475	1	6.7577734	1.43268992E8	3.57591	457.197	338.0	468.077	338.0
476	3	6.921333	4.09492992E8	2.2010565	473.06578519453734	381.3551025292252	466.9348849563159	381.3551025292252
476	1	6.5646667	1.27767E8	2.05807	496.32280000000003	414.0	465.46039999999994	414.0
476	3	7.032741	5.12377984E8	2.584638	453.59522856497875	238.2087130985327	448.5287974470671	238.2087130985327
476	1	6.42768	1.28383E8	1.27612	NaN	NaN	NaN	NaN
477	1	6.5948105	1.56582E8	1.8636	NaN	NaN	NaN	NaN
477	2	6.8760056	3.17836992E8	2.4248393	515.4265866256393	246.0	564.8865816720171	246.0
477	2	6.9224815	2.96724E8	3.0496397	NaN	NaN	NaN	NaN
483	1	6.523705	1.72847008E8	1.32061	461.05083333333334	351.0	461.8275	351.0
486	1	6.281736	1.15241E8	0.858767	NaN	NaN	NaN	NaN
491	1	6.480915	1.26294E8	1.55908	491.96166666666664	427.0	491.33125	427.0
491	1	6.5276494	1.13799E8	2.03336	473.3344	392.0	493.1904	392.0
491	1	6.585739	1.27633E8	2.21577	469.64750000000004	285.0	479.50666666666666	285.0
493	1	6.5405183	1.46588992E8	1.65027	NaN	NaN	NaN	NaN
493	2	6.8033834	3.161E8	1.897271	NaN	NaN	NaN	NaN
494	1	6.484542	1.57288E8	1.26764	495.5093333333334	411.0	493.84	411.0
494	4	7.265064	6.22992E8	4.7423315	455.77914465782334	297.7014343683386	466.6916055957915	297.7014343683386
494	2	6.4485874	2.26018E8	0.77914184	NaN	NaN	NaN	NaN
494	1	6.32042	1.07381E8	1.05337	NaN	NaN	NaN	NaN
494	1	6.4840336	1.3862E8	1.43583	NaN	NaN	NaN	NaN
494	4	6.9903426	5.4988403E8	2.0802774	NaN	NaN	NaN	NaN
496	6	7.2437453	8.0472698E8	3.4107356	471.6458970727547	357.95471259197217	476.8605159778823	357.95471259197217
496	3	7.070334	4.29068992E8	3.5144124	478.81407189364256	361.6669952851406	454.2037091128311	361.6669952851406
496	2	6.9239774	2.87536992E8	3.163378	NaN	NaN	NaN	NaN
500	6	7.2796626	8.5617523E8	3.629193	490.74097241676435	384.0	502.38466137277135	384.0
502	8	7.3721194	1.17936205E9	3.6258593	486.59104824117475	347.91127342989654	479.9667159830485	347.9988519216322
502	2	6.9545565	3.63379008E8	2.7819753	NaN	NaN	NaN	NaN
502	2	6.914898	3.12096992E8	2.824464	NaN	NaN	NaN	NaN
504	2	6.9579687	3.73971008E8	2.7352285	496.432110578093	268.4964021274377	477.1146121423854	268.4964021274377
506	1	6.532244	1.13812E8	2.06565	496.6260000000001	414.0	506.372	414.0
510	2	6.907915	3.24439008E8	2.652275	NaN	NaN	NaN	NaN
515	5	7.047358	6.3518899E8	2.1928701	487.5208321850662	399.8060262378599	507.1640380094744	399.8060262378599
515	1	6.533831	1.26677E8	1.86607	501.50583333333327	346.0	510.925	346.0
520	1	6.4284577	1.3169E8	1.24742	NaN	NaN	NaN	NaN
521	1	6.5793324	1.31534E8	2.103	508.6	88.0	491.7080000000001	88.0
